id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,Teff,Tefff,Radius,Mass
119275,,,,Gl 752B,,,19.28281,5.148625,5.8734,-572.81,-1342.94,0,17.52,18.676,dM5  e,2.2,1.927832,-5.522905,0.527077,-0.00001426,-0.00000863,-0.00003808,5.04822775,0.08986046,-2.78E-06,-6.51E-06,,,,2,94466,Gl 752,2.95E-06,,,,2975.019134,2975.019134,0.006476438,0.0262996
118532,,,,Gl 300,,,8.211308,-21.551445,5.8824,30.53,-699.33,0,12.1,13.252,M4,1.6,-2.993375,4.579649,-2.16082,0.00000328,-0.00000661,-0.00001855,2.149715403,-0.376143676,0.000000148,-3.39E-06,,,,1,118532,,0.000435713,,,,3649.041928,3649.041928,0.052317537,0.109590164
72955,73182,131976,,Gl 570B,,,14.957361,-21.41152,5.9252,987.05,-1666.81,27.9,8.01,9.146,K5V,1.519,-3.944034,-3.856974,-2.163168,0.00001332,-0.00002663,-0.00005499,3.91582799,-0.373701518,4.79E-06,-8.08E-06,,,Lib,2,72957,Gl 570,0.019124936,,,,3765.150362,3765.150362,0.325566778,0.322870651
75841,76074,,,Gl 588,,,15.536988,-41.275586,5.9291,-1177.47,-1028.86,15.4,9.31,10.445,M0,1.524,-2.678394,-3.561312,-3.911408,-0.00002244,0.00002647,-0.00003262,4.067574074,-0.720394882,-5.71E-06,-4.99E-06,,,Lup,1,75841,,0.005780961,,,,3757.761272,3757.761272,0.179699299,0.229388393
84147,84405,155885,6401,Gl 663A,36    Oph,,17.255836,-26.602829,5.9333,-473.69,-1143.93,0.9,4.33,5.464,K2:III:,0.855,-1.027046,-5.204798,-2.656955,-0.00001067,0.00001628,-0.00002983,4.517567394,-0.464306962,-2.30E-06,-5.55E-06,,36,Oph,1,84147,Gl 663,0.568067574,,,,5120.212718,5120.212718,0.959464095,0.850802136
118021,,,,Gl 34B,,,0.817022,57.817365,5.9527,1097.52,-509.45,10.5,7.51,8.636,K7 V,1.39,3.098396,0.673787,5.03855,0.00001103,0.0000348,0.00000126,0.213895944,1.009103388,5.32E-06,-2.47E-06,,,Cas,2,3814,Gl  34,0.030591446,,,,3966.828689,3966.828689,0.370952111,0.369244714
3814,3821,4614,219,Gl 34A,24Eta Cas,,0.81826,57.815187,5.9531,1087.11,-559.65,8.2,3.46,4.586,G0V SB,0.587,3.098462,0.674227,5.038376,0.00001105,0.00003451,-0.0000015,0.214219876,1.009065377,5.27E-06,-2.71E-06,Eta,24,Cas,1,3814,Gl  34,1.275263707,Eta,3.507,3.457,6018.915262,6018.915262,1.040323184,1.071942348
37659,37766,,,Gl 285,,,7.744493,3.552454,5.9566,-344.87,-450.84,26.8,11.19,12.315,M4.5Ve,1.6,-2.621889,5.336048,0.369099,-0.00000348,0.00002967,-0.00001129,2.027503512,0.062002012,-0.000001672,-2.19E-06,,,CMi,1,37659,,0.001032761,YZ,11.284,11.084,3649.041928,3649.041928,0.08054655,0.140235218
84220,84478,156026,,Gl 664,,,17.270388,-26.546147,5.9705,-479.71,-1123.37,-0.1,6.33,7.45,K5V,1.144,-1.014027,-5.243915,-2.668326,-0.00001086,0.00001699,-0.00002904,4.52137691,-0.463317662,-2.33E-06,-5.45E-06,,,Oph,1,84220,,0.091201084,V2215,6.35,6.32,4421.626718,4421.626718,0.515514142,0.504495321
83882,84140,155876,,Gl 661A,,,17.202169,45.665974,5.9776,325.96,-1591.73,-30,9.31,10.427,K5,1.485,-0.866144,-4.086415,4.275453,0.00000684,-0.00001326,-0.00005418,4.50351737,0.797021596,1.58E-06,-7.72E-06,,,Her,1,83882,Gl 661,0.0058776,,,,3816.208559,3816.208559,0.175687372,0.230477524
117106,117473,,,Gl 908,,,23.820146,2.401223,5.9776,995.12,-968.25,-71.3,8.98,10.097,M2V,1.46,5.965095,-0.281077,0.250417,-0.00007024,0.00003218,-0.00003109,6.236099684,0.041909249,4.82E-06,-4.69E-06,,,Psc,1,117106,,0.007965261,BR,9.01,8.96,3854.680056,3854.680056,0.200460157,0.251387026
119135,,155886,6402,Gl 663B,36    Oph,,17.255734,-26.603215,5.9852,-492.43,-1127.13,0.5,5.07,6.185,K1 Ve,0.85,-1.036233,-5.250282,-2.680239,-0.00001127,0.00001668,-0.00002947,4.517540538,-0.464313694,-2.39E-06,-5.46E-06,,36,Oph,2,84147,Gl 663,0.292415238,,,,5134.371181,5134.371181,0.684589464,0.70376647
99143,99461,191408,7703,Gl 783A,,,20.186632,-36.101212,6.015,456.89,-1574.91,-129.8,5.32,6.424,K2V,0.868,2.632166,-4.084363,-3.543434,-0.00006156,0.00012012,0.0000411,5.28484786,-0.630085015,2.22E-06,-7.64E-06,,,Sgr,1,99143,Gl 783,0.234638892,,,,5083.785468,5083.785468,0.625504306,0.660867334
15471,15510,20794,1008,Gl 139,,82 G. Eri,3.331944,-43.069784,6.0434,3038.08,726.34,86.7,4.26,5.354,G8V,0.711,2.839238,3.381499,-4.127499,-0.00001715,0.00011797,-0.00004501,0.872300799,-0.751709536,0.000014729,3.52E-06,,,Eri,1,15471,,0.628637088,,,,5564.356012,5564.356012,0.854623671,0.875790036
119334,,,,Gl 783B,,,20.186579,-36.102643,6.0518,454.75,-1565.28,0,11.5,12.591,M3.5,,2.648766,-4.11005,-3.565924,-0.00000343,0.00002996,-0.00003711,5.284834116,-0.630109986,2.20E-06,-7.59E-06,,,Sgr,2,99143,Gl 783,0.00080094,,,,10125.23719,0,0,0.130411017
71027,71253,,,Gl 555,,,14.571338,-12.519555,6.061,-357.5,595.12,9,11.32,12.407,M4,1.633,-4.626156,-3.689053,-1.313877,-0.00001654,0.00000025,0.00001507,3.814767243,-0.218507454,-1.73E-06,2.89E-06,,,Lib,1,71027,,0.000948855,HN,11.397,11.177,3603.839181,3603.839181,0.07915418,0.136880888
98924,99240,190248,7665,Gl 780,Del Pav,,20.145157,-66.182068,6.1084,1210.29,-1130.34,-21.7,3.55,4.62,G5IV-Vvar,0.751,1.313772,-2.087713,-5.587991,0.00000926,0.00005259,0.00000678,5.273989829,-1.155094997,5.87E-06,-0.00000548,Del,,Pav,1,98924,,1.235947433,,,,5432.93165,5432.93165,1.257002821,1.062394257
118344,,,,NN 3323,,,5.032478,-6.945051,6.135,-539.7,-549.2,0,12.1,13.161,m,,1.526136,5.895661,-0.741827,0.00001505,-0.00000593,-0.00001621,1.317499602,-0.12121401,-2.62E-06,-2.66E-06,,,,1,118344,,0.000473805,,,,10125.23719,0,0,0.112246117
119184,,,,GJ 1221,,,17.804188,70.874972,6.1425,-1245.27,1082.5,0,14.15,15.208,DXP9,0.4,-0.104366,-2.009764,5.80347,-0.00003548,0.0000323,0.00001057,4.661125495,1.237001611,-6.04E-06,5.25E-06,,,,1,119184,,7.19E-05,,,,6880.241819,6880.241819,0.005978081,0.065495016
118488,,,,NN 3454,,,7.606961,7.080332,6.1728,200.75,-286.7,0,13.22,14.268,m,,-2.501754,5.59158,0.760864,-0.00000592,-0.00000149,-0.00000851,1.991497608,0.123575103,9.73E-07,-0.00000139,,,,1,118488,,0.000170923,,,,10125.23719,0,0,0.083879781
115766,116132,,,Gl 896A,,,23.531155,19.937259,6.182,554.4,-62.61,1.1,10.05,11.094,M6Ve,1.19,5.76778,-0.711525,2.108009,0.00000372,0.00001628,-0.00000138,6.160441992,0.34797081,2.69E-06,-3.04E-07,,,Peg,1,115766,Gl 896,0.003179801,EQ,10.105,9.995,4328.442415,4328.442415,0.100448029,0.193374847
82565,82817,152751,,Gl 644A,,,16.924656,-8.336344,6.1954,-829.34,-878.81,12.1,9.02,10.06,M3Ve,1.553,-1.703055,-5.888724,-0.898248,-0.00002627,-0.00000117,-0.00002791,4.430864468,-0.145496647,-4.02E-06,-4.26E-06,,,Oph,1,82565,Gl 644,0.008241381,V1054,9.057,8.977,3715.491566,3715.491566,0.219468488,0.253846644
99382,99701,191849,,Gl 784,,,20.231446,-45.164019,6.1981,778.18,-159.55,-31.1,7.97,9.009,M0V,1.431,2.410191,-3.645204,-4.395049,0.00000526,0.00003444,0.00001917,5.296580229,-0.788260839,3.77E-06,-7.74E-07,,,Tel,1,99382,,0.021697016,,,,3900.331058,3900.331058,0.323148242,0.334723125
118644,,,,GJ 1128,,,9.714859,-68.885517,6.2112,-62.52,1118.25,-21,12.78,13.814,m,1.73,-1.848526,1.259969,-5.793194,-0.00001851,0.00001489,0.00003216,2.543344235,-1.202279078,-3.03E-07,5.42E-06,,,,1,118644,,0.000259657,,,,3477.438782,3477.438782,0.044471908,0.094524169
118995,,,,NN 3877,,,14.944004,-28.165379,6.2112,-481.45,-830.54,0,17.05,18.084,dM8,1.34,-3.928325,-3.814685,-2.931799,-0.00000164,0.00001862,-0.00002205,3.912331101,-0.491578594,-2.33E-06,-4.03E-06,,,,1,118995,,5.09E-06,,,,4051.195837,4051.195837,0.004587723,0.030735031
74766,74995,,,Gl 581,,,15.32412,-7.72228,6.2147,-1224.55,-99.52,-9.4,10.57,11.603,M5,1.6,-3.96982,-4.707934,-0.835068,-0.0000218,0.00003137,-0.00000168,4.011845195,-0.134779215,-5.94E-06,-4.82E-07,,,Lib,1,74766,,0.001989757,HO,10.595,10.485,3649.041928,3649.041928,0.11180135,0.16913309
119568,,,,Gl 896B,,,23.531203,19.937322,6.2477,559.75,-16.61,-1.2,12.4,13.421,dM6  e,1.65,5.829022,-0.718963,2.130394,0.0000011,0.00001695,-0.00000089,6.160454559,0.347971921,2.71E-06,-8.05E-08,,,,2,115766,Gl 896,0.000372907,,,,3581.00279,3581.00279,0.050256899,0.104823172
34511,34603,,,Gl 268,,,7.167196,38.52946,6.2945,-439.68,-948.36,37.9,11.65,12.655,M5Ve,1.7,-1.481414,4.696265,3.921162,-0.00000175,0.00005014,0.00000151,1.876367453,0.672465941,-2.13E-06,-4.60E-06,,,Aur,1,34511,,0.000755092,QY,11.712,11.562,3515.540832,3515.540832,0.074202814,0.128233047
119134,,,,Gl 661B,,,17.202071,45.665514,6.3223,238.99,-1561.82,0,10.4,11.396,M3.5,,-0.916168,-4.322284,4.522166,0.00000006,-0.00003503,-0.00003344,4.503491593,0.797013575,1.16E-06,-7.57E-06,,,Her,2,83882,Gl 661,0.002407687,,,,10125.23719,0,0,0.178601755
45214,120005,79211,,Gl 338B,,,9.240357,52.686376,6.3918,-1551.3,-656.25,14.7,7.7,8.672,K2,1.42,-2.906545,2.562201,5.083691,0.00001281,0.00005278,-0.00000037,2.419119881,0.919550733,-7.52E-06,-3.18E-06,,,UMa,2,45211,Gl 338,0.02959375,,,,3917.94294,3917.94294,0.374014571,0.365763193
118865,,,,GJ 2097,,,13.117292,20.815405,6.4103,-69.97,-38.78,-7,12.58,13.546,m,1.62,-5.737071,-1.727679,2.277826,0.00000537,0.00000389,-0.00000367,3.434099085,0.363297356,-3.39E-07,-0.000000188,,,,1,118865,,0.000332353,,,,3621.507053,3621.507053,0.04639016,0.101431142
118399,,,,Gl 223.2,,,5.919344,-4.169761,6.4599,549.24,-2305.48,0,14.45,15.399,DZ9,1.05,0.136031,6.441366,-0.469711,-0.00001731,-0.00000484,-0.00007201,1.54968072,-0.07277606,2.66E-06,-1.12E-05,,,,1,118399,,6.03E-05,,,,4625.809668,4625.809668,0.012111219,0.062283983
80218,80459,,,Gl 625,,,16.423456,54.304103,6.5164,432.29,-170.71,-12.6,10.13,11.06,M2,1.591,-1.525067,-3.482882,5.292042,0.00001377,-0.0000026,-0.00001361,4.299650838,0.947785391,2.10E-06,-8.28E-07,,,Dra,1,80218,,0.003280953,,,,3661.574821,3661.574821,0.142583383,0.19511278
118812,,,,GJ 1156,,,12.316778,11.125205,6.5402,-1283.64,205.6,0,13.81,14.732,dM   e,1.88,-6.395244,-0.531553,1.261955,-0.00000213,0.00004066,0.0000064,3.224524893,0.194171451,-6.22E-06,9.97E-07,,,,1,118812,,0.000111481,,,,3299.044335,3299.044335,0.032376423,0.074238436
114260,114622,219134,8832,Gl 892,,,23.221098,57.168355,6.5462,2074.37,294.97,-18.2,5.57,6.49,K3Vvar,1,3.475601,-0.718451,5.500421,-0.00000425,0.0000681,-0.00001057,6.079269286,0.997776028,1.01E-05,1.43E-06,,,Cas,1,114260,,0.220800473,,,,4742.738178,4742.738178,0.697182431,0.649488444
53612,53767,,,Gl 408,,,11.001188,22.832962,6.6622,-426.31,-279.94,3,10.03,10.912,M3,1.525,-5.931445,1.587358,2.58525,-0.00000256,0.00001494,-0.00000714,2.880104395,0.398510372,-2.07E-06,-1.36E-06,,,Leo,1,53612,,0.003760105,,,,3756.287069,3756.287069,0.145039793,0.202861668
118988,,,,Gl 566B,,,14.856488,19.099249,6.6997,135.41,-102.78,3.1,6.97,7.84,K4 Ve,1.16,-4.64172,-4.305423,2.192231,-0.00000001,-0.000006,-0.00000212,3.889419555,0.333344779,6.56E-07,-4.98E-07,,,Boo,2,72432,Gl 566,0.063679552,,,,4388.740774,4388.740774,0.437245024,0.455287487
105765,106106,,,Gl 829,,,21.493551,17.64329,6.7047,1008.09,376.21,-24.9,10.33,11.198,M4,1.62,5.062257,-3.897986,2.03206,-0.00000217,0.00004303,0.00000393,5.626998496,0.307933507,4.89E-06,1.82E-06,,,Peg,1,105765,,0.002889349,,10.413,10.283,3621.507053,3621.507053,0.136781092,0.18815436
72432,72659,131156,5544,Gl 566A,37Xi  Boo,,14.856493,19.10046,6.7123,152.81,-71.28,2.2,4.54,5.406,G8V + K4V,0.72,-4.650321,-4.313397,2.196442,0.00000127,-0.00000561,-0.00000146,3.88942066,0.333365915,7.41E-07,-3.46E-07,Xi,37,Boo,1,72432,Gl 566,0.599238903,Xi,4.57,4.52,5534.196696,5534.196696,0.843520329,0.863887406
82557,82809,,,Gl 643,,,16.923675,-8.322576,6.715,-813.47,-895.23,-14.1,11.73,12.595,M4,1.7,-1.847524,-6.382123,-0.971952,-0.0000203,0.00002512,-0.00002675,4.430607756,-0.145256351,-3.94E-06,-4.34E-06,,,Oph,1,82557,,0.000797995,,11.852,11.622,3515.540832,3515.540832,0.076281729,0.130273833
118530,,,,Gl 299,,,8.199296,8.775732,6.7568,1163.13,-5078.51,-35,12.83,13.681,dM5,1.77,-3.634963,5.599567,1.030592,-0.00002663,-0.00002895,-0.00016987,2.146570752,0.153165417,0.000005639,-2.46E-05,,,,1,118530,,0.000293495,,,,3427.944733,3427.944733,0.048656119,0.097891066
52866,53020,,,Gl 402,,,10.847797,6.808149,6.7604,-804.4,-809.6,-0.9,11.64,12.49,M4:,1.679,-6.409634,1.9943,0.801412,0.0000057,0.00002584,-0.00002645,2.839946515,0.118824615,-3.90E-06,-3.93E-06,,,Leo,1,52866,,0.000879023,,11.742,11.482,3542.730698,3542.730698,0.078836725,0.13392363
119513,,,,NN 4285,,,22.632675,-65.822318,6.8027,617.95,-349.62,0,11.45,12.287,m,,2.609768,-0.975622,-6.205965,-0.00000271,0.00002277,-0.00000472,5.92522042,-1.148816163,3.00E-06,-0.000001695,,,Tuc,1,119513,,0.001059742,,,,10125.23719,0,0,0.141272355
85345,85605,,,,,,17.493402,24.654069,6.8101,97.33,348.92,0,11.39,12.224,,1.101,-0.818464,-6.134956,2.840756,0.00000382,0.00000434,0.00001047,4.579761808,0.430294686,4.72E-07,1.69E-06,,,Her,1,85345,,0.001123052,,,,4512.629406,4512.629406,0.054921872,0.14363395
84451,84709,156384,6426,Gl 667A,,,17.315842,-34.989792,6.8357,1149.24,-90.8,0.9,5.91,6.736,K4V,1.082,-0.997648,-5.510603,-3.919803,0.00003765,-0.00000583,-0.00000299,4.533276784,-0.610687079,5.57E-06,-4.40E-07,,,Sco,1,84451,Gl 667,0.176035395,,,,4554.107356,4554.107356,0.675146789,0.608775467
112936,113296,216899,,Gl 880,,,22.943009,16.553433,6.8451,-1033.21,-283.33,-27.9,8.68,9.503,M2:,1.507,6.31155,-1.792532,1.950162,-0.0000331,-0.00002624,-0.00001714,6.006465635,0.288911915,-5.01E-06,-1.37E-06,,,Peg,1,112936,,0.013765754,,,,3783.007994,3783.007994,0.273608899,0.293919617
118510,,,,Gl 293,,,7.885359,-67.791861,6.9109,1427.31,-1457.52,0,14.08,14.882,DQ9,0.66,-1.238902,2.29964,-6.398229,-0.00002072,-0.00006245,-0.00001847,2.064382212,-1.18319118,6.92E-06,-7.07E-06,,,,1,118510,,9.71E-05,,,,5742.128942,5742.128942,0.009973979,0.071365976
119143,,,,Gl 667B,,,17.315629,-34.992895,6.9711,1145.08,-185.46,1,7.2,7.983,K5 V,,-1.017406,-5.619572,-3.99778,0.00003857,-0.00000419,-0.00000572,4.533220946,-0.610741238,5.55E-06,-8.99E-07,,,Sco,2,84451,Gl 667,0.055821307,,,,10125.23719,0,0,0.438473002
119144,,,,Gl 667C,,,17.31593,-34.997665,6.9711,1167.64,-170.34,0.6,10.24,11.023,M2.5,1.57,-1.016894,-5.61931,-3.998244,0.00003933,-0.00000429,-0.00000507,4.533299804,-0.610824493,5.66E-06,-8.26E-07,,,Sco,3,84451,Gl 667,0.003394689,,,,3691.168543,3691.168543,0.142717418,0.197021801
102765,103096,199305,,Gl 809,,,20.88883,62.15439,7.0487,1.08,-774.24,-17,8.55,9.309,M2V,1.483,2.259284,-2.394775,6.232392,0.00001051,-0.00001108,-0.00002773,5.46868299,1.084798756,5.24E-09,-3.75E-06,,,Cep,1,102765,,0.016458869,,,,3819.256869,3819.256869,0.293526281,0.309314299
51172,51317,,,Gl 393,,,10.482098,0.841,7.0671,-602.32,-731.87,8.3,9.65,10.404,M2,1.507,-6.515769,2.734767,0.10373,-0.00000018,0.00002245,-0.00002495,2.744206752,0.014678211,-2.92E-06,-3.55E-06,,,Sex,1,51172,,0.006003438,,,,3783.007994,3783.007994,0.180688383,0.231876722
12082,12114,16160,753,Gl 105A,,268 G. Cet,2.601357,6.88687,7.1803,1806.27,1442.5,26,5.79,6.509,K3V,0.918,5.538462,4.488223,0.861013,-0.00002374,0.00006168,0.00005304,0.681033735,0.120198562,0.000008757,6.99E-06,,,Cet,1,12082,Gl 105,0.216970155,,,,4948.653237,4948.653237,0.634790895,0.646249172
118835,,,,NN 3737,,,12.647117,-38.374865,7.1942,-676.5,-1316.34,0,12.74,13.455,M4,1.69,-5.559306,-0.950686,-4.466188,0.0000241,0.00002806,-0.000036,3.31100755,-0.669767745,-3.28E-06,-6.38E-06,,,,1,118835,,0.00036141,,,,3528.434308,3528.434308,0.050961329,0.103889457
118157,,,,Gl 105B,,,2.60431,6.87166,7.2088,1813.13,1447.4,25.7,11.66,12.371,dM4.5,1.6,5.55796,4.511171,0.862659,-0.00002433,0.00006185,0.00005336,0.681806879,0.119933085,8.79E-06,7.02E-06,,,Cet,2,12082,Gl 105,0.000980844,,,,3649.041928,3649.041928,0.078495904,0.138183798
119571,,,,GJ 1286,,,23.586282,-2.390374,7.215,778.41,-846.51,0,14.69,15.399,M5,1.96,7.16648,-0.779258,-0.300922,0.00000173,0.0000272,-0.00002958,6.174874139,-0.041719896,3.77E-06,-0.000004104,,,,1,119571,,6.03E-05,,,,3211.401455,3211.401455,0.025128941,0.062283983
119212,,,,NN 4053,,,18.315393,66.192187,7.2833,465.78,-409.2,0,13.48,14.168,m,1.83,0.242972,-2.929993,6.663525,0.00001748,-0.00001182,-0.00000583,4.794958634,1.155271597,2.26E-06,-1.98E-06,,,,1,119212,,0.000187413,,,,3356.373216,3356.373216,0.040556839,0.086116354
119229,,,,GJ 1230A,,,18.685827,24.784458,7.3529,498.32,40.97,0,12.4,13.068,k-m,1.71,1.192254,-6.568303,3.082378,0.00001737,0.00000377,0.00000133,4.89193799,0.432570397,2.42E-06,1.99E-07,,,,1,119229,GJ 1230,0.000516179,,,,3502.744499,3502.744499,0.06179993,0.11502708
119230,,,,GJ 1230B,,,18.685826,24.786125,7.3529,498.32,40.97,0,14,14.668,m,,1.192237,-6.568216,3.082572,0.00001737,0.00000377,0.00000133,4.891937821,0.432599486,2.42E-06,1.99E-07,,,,2,119229,GJ 1230,0.00011825,,,,10125.23719,0,0,0.075499345
83688,83945,,,NN 3991,,,17.158741,43.681351,7.4455,333.92,-278.02,0,11.77,12.411,M3,1.696,-1.176301,-5.254468,5.142212,0.00001025,-0.0000094,-0.00000726,4.492147964,0.76238339,1.62E-06,-1.35E-06,,,Her,1,83688,,0.000945366,,11.863,11.693,3520.686501,3520.686501,0.082784688,0.136736893
3759,3765,4628,222,Gl 33,,96 G. Psc,0.806382,5.280615,7.4549,758.04,-1141.22,-10,5.74,6.378,K2V,0.89,7.258368,1.555495,0.686093,-0.00001198,0.00002545,-0.00004201,0.211110319,0.092164116,3.68E-06,-5.53E-06,,,Psc,1,3759,,0.244793567,,,,5023.375178,5023.375178,0.65435512,0.668915761
119492,,,,NN 4274,,,22.385183,-17.607447,7.4571,284.7,-715.43,0,13.25,13.887,M4,1.84,6.481995,-2.916125,-2.255726,-0.00000291,0.00001259,-0.00002465,5.860427202,-0.307307917,1.38E-06,-3.47E-06,,,,1,119492,,0.000242773,,,,3344.743474,3344.743474,0.04648141,0.092725698
